=== PCB上SW/JOY座標レポート (右上原点 / 左右のみ反転) ===

入力PCB: kicad/cqa02303v5rpi/cqa02303v5rpi.kicad_pcb
入力Matrix JSON: build/generated/keymap_matrix_analysis.json

付与済み座標数(SW): 86
未付与座標数(SW): 0
付与済み座標数(JOY): 1
原点定義: top_right_x_flipped_only

SW | Matrix[row,col] | PCB座標(x,y)
----------------------------------------------------
SW64 | [ 7, 0]         | (  0.0000,  79.1206)
SW91A | [ 7, 1]         | ( 12.5730,  79.1206)
SW91B | [ 6, 1]         | ( 12.5730,  79.1206)
SW55 | [ 6, 0]         | ( 26.7970,  79.1206)
SW73 | [ 8, 0]         | ( 38.1000,  79.1206)
SW74 | [ 8, 1]         | ( 57.1500,  79.1206)
SW83 | [ 9, 1]         | ( 76.2000,  79.1206)
SW82 | [ 9, 0]         | ( 95.2500,  79.1206)
SW57 | [ 6, 2]         | (123.8250,  79.1206)
SW58 | [ 6, 3]         | (142.8750,  79.1206)
SW67 | [ 7, 3]         | (161.9250,  79.1206)
SW66 | [ 7, 2]         | (180.9750,  79.1206)
SW75 | [ 8, 2]         | (209.5500,  79.1206)
SW76 | [ 8, 3]         | (228.6000,  79.1206)
SW85 | [ 9, 3]         | (247.6500,  79.1206)
SW84 | [ 9, 2]         | (266.7000,  79.1206)
SW1  | [ 0, 1]         | (  0.0000, 102.9331)
SW2  | [ 0, 2]         | ( 19.0500, 102.9331)
SW3  | [ 0, 3]         | ( 38.1000, 102.9331)
SW4  | [ 0, 4]         | ( 57.1500, 102.9331)
SW5  | [ 0, 5]         | ( 76.2000, 102.9331)
SW6  | [ 0, 6]         | ( 95.2500, 102.9331)
SW7  | [ 0, 7]         | (114.3000, 102.9331)
SW8  | [ 0, 8]         | (133.3500, 102.9331)
SW9  | [ 0, 9]         | (152.4000, 102.9331)
SW59 | [ 6, 4]         | (171.4500, 102.9331)
SW60 | [ 6, 5]         | (190.5000, 102.9331)
SW61 | [ 6, 7]         | (209.5500, 102.9331)
SW62 | [ 6, 8]         | (228.6000, 102.9331)
SW63 | [ 6, 9]         | (257.1750, 102.9331)
SW10 | [ 1, 0]         | (  4.7625, 121.9831)
SW11 | [ 1, 2]         | ( 28.5750, 121.9831)
SW12 | [ 1, 3]         | ( 47.6250, 121.9831)
SW13 | [ 1, 4]         | ( 66.6750, 121.9831)
SW14 | [ 1, 5]         | ( 85.7250, 121.9831)
SW15 | [ 1, 6]         | (104.7750, 121.9831)
SW16 | [ 1, 7]         | (123.8250, 121.9831)
SW17 | [ 1, 8]         | (142.8750, 121.9831)
SW18 | [ 1, 9]         | (161.9250, 121.9831)
SW68 | [ 7, 4]         | (180.9750, 121.9831)
SW69 | [ 7, 5]         | (200.0250, 121.9831)
SW70 | [ 7, 6]         | (219.0750, 121.9831)
SW71 | [ 7, 8]         | (238.1250, 121.9831)
SW72 | [ 7, 9]         | (261.9375, 121.9831)
SW19 | [ 2, 0]         | (  7.1438, 141.0331)
SW20 | [ 2, 1]         | ( 33.3375, 141.0331)
SW21 | [ 2, 3]         | ( 52.3875, 141.0331)
SW22 | [ 2, 4]         | ( 71.4375, 141.0331)
SW23 | [ 2, 5]         | ( 90.4875, 141.0331)
SW24 | [ 2, 6]         | (109.5375, 141.0331)
SW25 | [ 2, 7]         | (128.5875, 141.0331)
SW26 | [ 2, 8]         | (147.6375, 141.0331)
SW27 | [ 2, 9]         | (166.6875, 141.0331)
SW77 | [ 8, 4]         | (185.7375, 141.0331)
SW78 | [ 8, 5]         | (204.7875, 141.0331)
SW79 | [ 8, 6]         | (223.8375, 141.0331)
SW80 | [ 8, 7]         | (254.7937, 141.0331)
SW28 | [ 3, 0]         | ( 11.9062, 160.0831)
SW29 | [ 3, 1]         | ( 42.8625, 160.0831)
SW30 | [ 3, 2]         | ( 61.9125, 160.0831)
SW31 | [ 3, 4]         | ( 80.9625, 160.0831)
SW32 | [ 3, 5]         | (100.0125, 160.0831)
SW33 | [ 3, 6]         | (119.0625, 160.0831)
SW34 | [ 3, 7]         | (138.1125, 160.0831)
SW35 | [ 3, 8]         | (157.1625, 160.0831)
SW36 | [ 3, 9]         | (176.2125, 160.0831)
SW86 | [ 9, 4]         | (195.2625, 160.0831)
SW87 | [ 9, 5]         | (214.3125, 160.0831)
SW81 | [ 8, 9]         | (240.5062, 160.0831)
SW38 | [ 4, 1]         | ( 42.8625, 179.1331)
SW39 | [ 4, 2]         | ( 69.0562, 179.1331)
SW40 | [ 4, 3]         | ( 90.4875, 179.1331)
SW42 | [ 4, 6]         | (147.6375, 179.1331)
SW43 | [ 4, 7]         | (169.0687, 179.1331)
SW45 | [ 4, 9]         | (223.8375, 179.1331)
SW50 | [ 5, 4]         | (109.5375, 188.6581)
SW41 | [ 4, 5]         | (128.5875, 188.6581)
SW44 | [ 4, 8]         | (204.7875, 188.6581)
SW54 | [ 5, 9]         | (242.8875, 188.6581)
SW90 | [ 9, 8]         | (258.9530, 190.4996)
JOY1 | [ 4, 0]         | (  0.0000, 198.1831)
SW48 | [ 5, 2]         | ( 59.5312, 198.1831)
SW49 | [ 5, 3]         | ( 90.4875, 198.1831)
SW51 | [ 5, 6]         | (147.6375, 198.1831)
SW52 | [ 5, 7]         | (178.5938, 198.1831)
SW53 | [ 5, 8]         | (223.8375, 198.1831)

JOY  | PCB座標(x,y)
------------------------------------
JOY1  | (  0.0000, 198.1831)

ENC  | PCB座標(x,y)
------------------------------------
SW91  | ( 12.5730,  79.1206)
